agegp,alcgp,tobgp,ncases,ncontrols
1,1,1,0,40
1,1,2,0,10
1,1,3,0,6
1,1,4,0,5
1,2,1,0,27
1,2,2,0,7
1,2,3,0,4
1,2,4,0,7
1,3,1,0,2
1,3,2,0,1
1,3,4,0,2
1,4,1,0,1
1,4,2,1,0
1,4,3,0,1
1,4,4,0,2
2,1,1,0,60
2,1,2,1,13
2,1,3,0,7
2,1,4,0,8
2,2,1,0,35
2,2,2,3,20
2,2,3,1,13
2,2,4,0,8
2,3,1,0,11
2,3,2,0,6
2,3,3,0,2
2,3,4,0,1
2,4,1,2,1
2,4,2,0,3
2,4,3,2,2
3,1,1,1,45
3,1,2,0,18
3,1,3,0,10
3,1,4,0,4
3,2,1,6,32
3,2,2,4,17
3,2,3,5,10
3,2,4,5,2
3,3,1,3,13
3,3,2,6,8
3,3,3,1,4
3,3,4,2,2
3,4,1,4,0
3,4,2,3,1
3,4,3,2,1
3,4,4,4,0
4,1,1,2,47
4,1,2,3,19
4,1,3,3,9
4,1,4,4,2
4,2,1,9,31
4,2,2,6,15
4,2,3,4,13
4,2,4,3,3
4,3,1,9,9
4,3,2,8,7
4,3,3,3,3
4,3,4,4,0
4,4,1,5,5
4,4,2,6,1
4,4,3,2,1
4,4,4,5,1
5,1,1,5,43
5,1,2,4,10
5,1,3,2,5
5,1,4,0,2
5,2,1,17,17
5,2,2,3,7
5,2,3,5,4
5,3,1,6,7
5,3,2,4,8
5,3,3,2,1
5,3,4,1,0
5,4,1,3,1
5,4,2,1,1
5,4,3,1,0
5,4,4,1,0
6,1,1,1,17
6,1,2,2,4
6,1,4,1,2
6,2,1,2,3
6,2,2,1,2
6,2,3,0,3
6,2,4,1,0
6,3,1,1,0
6,3,2,1,0
6,4,1,2,0
6,4,2,1,0
