"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,1,1,1128,1129,-1,1422,1437,-15,"UA",987,"N496UA","EWR","TPA",156,997,11,29,2013-01-01 11:00:00
2013,1,1,1137,1140,-3,1445,1451,-6,"DL",2175,"N999DN","LGA","PBI",153,1035,11,40,2013-01-01 11:00:00
2013,1,1,1330,1321,9,1613,1536,37,"EV",3849,"N14558","EWR","IND",149,645,13,21,2013-01-01 13:00:00
2013,1,1,2031,2030,1,2344,2335,9,"UA",834,"N822UA","EWR","IAH",223,1400,20,30,2013-01-01 20:00:00
2013,1,2,817,630,107,1107,845,142,"EV",4235,"N16546","EWR","IND",132,645,6,30,2013-01-02 06:00:00
2013,1,3,2011,1947,24,2129,2112,17,"EV",4462,"N13965","EWR","BUF",55,282,19,47,2013-01-03 19:00:00
2013,1,4,1550,1520,30,1719,1650,29,"WN",2081,"N436WN","LGA","MKE",116,738,15,20,2013-01-04 15:00:00
2013,1,4,1627,1600,27,1907,1912,-5,"UA",1200,"N76522","EWR","SAN",314,2425,16,0,2013-01-04 16:00:00
2013,1,4,2029,2000,29,2152,2139,13,"UA",1574,"N16709","EWR","CLE",65,404,20,0,2013-01-04 20:00:00
2013,1,5,856,900,-4,1125,1137,-12,"EV",3261,"N12567","EWR","ATL",126,746,9,0,2013-01-05 09:00:00
2013,1,5,902,905,-3,1205,1226,-21,"DL",2379,"N324NB","LGA","FLL",171,1076,9,5,2013-01-05 09:00:00
2013,1,5,1937,1920,17,2304,2315,-11,"DL",1345,"N3754A","JFK","PHX",307,2153,19,20,2013-01-05 19:00:00
2013,1,6,639,645,-6,836,848,-12,"US",926,"N769US","EWR","CLT",89,529,6,45,2013-01-06 06:00:00
2013,1,6,1131,1130,1,1302,1315,-13,"WN",145,"N956WN","EWR","STL",135,872,11,30,2013-01-06 11:00:00
2013,1,6,1948,1955,-7,2305,2310,-5,"AA",1709,"N3ACAA","LGA","MIA",163,1096,19,55,2013-01-06 19:00:00
2013,1,7,655,700,-5,955,1014,-19,"DL",1879,"N377NW","LGA","FLL",154,1076,7,0,2013-01-07 07:00:00
2013,1,7,951,1000,-9,1053,1108,-15,"US",2122,"N944UW","LGA","BOS",35,184,10,0,2013-01-07 10:00:00
2013,1,7,1207,1210,-3,1301,1310,-9,"WN",477,"N799SW","EWR","BWI",39,169,12,10,2013-01-07 12:00:00
2013,1,7,1547,1550,-3,1657,1710,-13,"WN",4215,"N936WN","EWR","MDW",112,711,15,50,2013-01-07 15:00:00
2013,1,8,832,835,-3,1318,1340,-22,"DL",301,"N900PC","JFK","SJU",196,1598,8,35,2013-01-08 08:00:00
2013,1,8,1228,1235,-7,1359,1415,-16,"MQ",4404,"N835MQ","JFK","RDU",76,427,12,35,2013-01-08 12:00:00
2013,1,8,1644,1630,14,1941,1925,16,"UA",1178,"N66057","EWR","IAH",208,1400,16,30,2013-01-08 16:00:00
2013,1,8,1901,1905,-4,2027,2040,-13,"WN",981,"N227WN","LGA","MKE",119,738,19,5,2013-01-08 19:00:00
2013,1,9,1556,1555,1,1811,1817,-6,"DL",1771,"N371NB","JFK","DTW",103,509,15,55,2013-01-09 15:00:00
2013,1,10,1455,1500,-5,1642,1655,-13,"MQ",4429,"N722MQ","LGA","CMH",78,479,15,0,2013-01-10 15:00:00
2013,1,10,1652,1700,-8,1757,1840,-43,"MQ",4323,"N922MQ","JFK","ORF",47,290,17,0,2013-01-10 17:00:00
2013,1,11,1845,1819,26,1959,1932,27,"EV",4520,"N10156","EWR","PWM",49,284,18,19,2013-01-11 18:00:00
2013,1,12,1012,1015,-3,1240,1251,-11,"DL",1705,"N370NB","LGA","MSY",163,1183,10,15,2013-01-12 10:00:00
2013,1,12,1605,1610,-5,1841,1917,-36,"DL",91,"N3737C","JFK","LAS",305,2248,16,10,2013-01-12 16:00:00
2013,1,12,1703,1705,-2,1935,2008,-33,"B6",143,"N635JB","JFK","PBI",131,1028,17,5,2013-01-12 17:00:00
2013,1,13,610,615,-5,753,820,-27,"US",1269,"N762US","JFK","CLT",82,541,6,15,2013-01-13 06:00:00
2013,1,13,629,630,-1,1009,1014,-5,"UA",470,"N493UA","EWR","PHX",310,2133,6,30,2013-01-13 06:00:00
2013,1,13,1303,1259,4,1537,1556,-19,"B6",991,"N187JB","JFK","PBI",137,1028,12,59,2013-01-13 12:00:00
2013,1,13,1600,1605,-5,1946,1925,21,"9E",3325,"N909XJ","JFK","DFW",240,1391,16,5,2013-01-13 16:00:00
2013,1,14,739,750,-11,937,940,-3,"9E",3611,"N8913A","JFK","PIT",74,340,7,50,2013-01-14 07:00:00
2013,1,14,1344,1350,-6,1625,1628,-3,"DL",1705,"N344NB","LGA","MSY",192,1183,13,50,2013-01-14 13:00:00
2013,1,14,1349,1350,-1,1620,1624,-4,"B6",615,"N316JB","JFK","JAX",123,828,13,50,2013-01-14 13:00:00
2013,1,14,1437,1235,122,1621,1415,126,"MQ",4404,"N856MQ","JFK","RDU",75,427,12,35,2013-01-14 12:00:00
2013,1,15,555,600,-5,845,906,-21,"B6",125,"N706JB","JFK","FLL",151,1069,6,0,2013-01-15 06:00:00
2013,1,15,629,630,-1,925,905,20,"WN",135,"N447WN","LGA","DEN",262,1620,6,30,2013-01-15 06:00:00
2013,1,15,1437,1430,7,1747,1735,12,"AA",883,"N538AA","EWR","DFW",227,1372,14,30,2013-01-15 14:00:00
2013,1,15,1609,1610,-1,1752,1756,-4,"EV",5486,"N760EV","LGA","PIT",65,335,16,10,2013-01-15 16:00:00
2013,1,16,704,705,-1,1101,1002,59,"B6",389,"N784JB","LGA","MCO",147,950,7,5,2013-01-16 07:00:00
2013,1,16,1256,1250,6,1542,1520,22,"WN",390,"N403WN","LGA","DEN",258,1620,12,50,2013-01-16 12:00:00
2013,1,17,1728,1729,-1,2035,2049,-14,"AA",543,"N361AA","JFK","MIA",159,1089,17,29,2013-01-17 17:00:00
